"Status","Type","Path","File name","Source library","Target library","Source URL","Target URL","Source ID","Target ID","Source size (bytes)","Target size (bytes)","Source created (UTC)","Target created (UTC)","Source modified (UTC)","Target modified (UTC)","Source author","Target author","Source version","Target version","Differences"
"Migrated","Folder","Folder-A","Folder-A","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-A","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-A","326","447","","","2020-09-12 11:00:00Z","2020-09-12 11:00:00Z","2020-10-22 11:00:00Z","2020-10-22 11:00:00Z","Alexa@cleverpoint.ca","Alexa@cleverpoint.ca","1.0","1.0",""
"Migrated","Folder","Folder-A/Sub-1","Sub-1","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-A/Sub-1","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-A/Sub-1","327","449","","","2020-09-29 11:00:00Z","2020-09-29 11:00:00Z","2020-11-08 11:00:00Z","2020-11-08 11:00:00Z","Andriana@cleverpoint.ca","Andriana@cleverpoint.ca","1.0","1.0",""
"Migrated","Folder","Folder-B","Folder-B","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-B","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-B","328","448","","","2020-10-16 11:00:00Z","2020-10-16 11:00:00Z","2020-11-25 11:00:00Z","2020-11-25 11:00:00Z","Bo@cleverpoint.ca","Bo@cleverpoint.ca","1.0","1.0",""
"Migrated","File","doc-01.bin","doc-01.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/doc-01.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/doc-01.bin","329","450","1841","1841","2021-01-13 09:00:00Z","2021-01-13 09:00:00Z","2021-03-03 09:00:00Z","2021-03-03 09:00:00Z","Alexa@cleverpoint.ca","Alexa@cleverpoint.ca","1.0","1.0",""
"Migrated","File","Folder-A/doc-02.bin","doc-02.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-A/doc-02.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-A/doc-02.bin","330","453","1825","1825","2024-03-03 09:00:00Z","2024-03-03 09:00:00Z","2024-03-14 09:00:00Z","2024-03-14 09:00:00Z","Andriana@cleverpoint.ca","Andriana@cleverpoint.ca","1.0","1.0",""
"Migrated","File","Folder-A/Sub-1/doc-03.bin","doc-03.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-A/Sub-1/doc-03.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-A/Sub-1/doc-03.bin","331","459","2346","2346","2021-10-01 09:00:00Z","2021-10-01 09:00:00Z","2021-11-04 09:00:00Z","2021-11-04 09:00:00Z","Bo@cleverpoint.ca","Bo@cleverpoint.ca","1.0","1.0",""
"Migrated","File","Folder-B/doc-04.bin","doc-04.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-B/doc-04.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-B/doc-04.bin","332","454","1583","1583","2022-06-07 09:00:00Z","2022-06-07 09:00:00Z","2022-07-13 09:00:00Z","2022-07-13 09:00:00Z","demouser@cleverpoint.ca","demouser@cleverpoint.ca","1.0","1.0",""
"Migrated","File","doc-05.bin","doc-05.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/doc-05.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/doc-05.bin","333","451","118163","118163","2023-02-14 09:00:00Z","2023-02-14 09:00:00Z","2023-03-14 09:00:00Z","2023-03-14 09:00:00Z","denis@gocleverpoint.com","denis@gocleverpoint.com","1.0","1.0",""
"Migrated","File","Folder-A/doc-06.bin","doc-06.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-A/doc-06.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-A/doc-06.bin","334","455","103362","103362","2022-07-02 09:00:00Z","2022-07-02 09:00:00Z","2022-08-12 09:00:00Z","2022-08-12 09:00:00Z","lana@cleverpoint.ca","lana@cleverpoint.ca","1.0","1.0",""
"Migrated","File","Folder-A/Sub-1/doc-07.bin","doc-07.bin","MigTest-SrcLib","MigTest-CopyLib","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestSrcLib/Folder-A/Sub-1/doc-07.bin","https://gocleverpointcom.sharepoint.com/sites/DemoLargeSite/migtest/MigTestCopyLib/Folder-A/Sub-1/doc-07.bin","335","460","91388","91388","2022-03-11 09:00:00Z","2022-03-11 09:00:00Z","2022-03-16 09:00:00Z","2022-03-16 09:00:00Z","Alexa@cleverpoint.ca","Alexa@cleverpoint.ca","1.0","1.0",""
